dilution_id,28504,28505,28506,28507,28508,28509,28510,28511,28512,28513,28514,28515,28516
rno-miR-19a-3p,29.42599237,28.91438165,29.20483692,30.17140119,31.99917238,29.43014559,29.65415511,29.01146409,28.72265381,28.78291654,28.74700386,29.03586415,ND
rno-miR-19b-3p,28.76034724,27.949927,28.21908641,29.12495661,30.86748408,28.47971831,28.77275645,28.16389214,27.57169751,27.91243339,27.8830121,28.47486505,ND
rno-miR-200b-3p,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.83332024,ND
rno-miR-200c-3p,36.26878142,35.7574897,37.08615889,ND,35.51452708,35.21863985,ND,ND,36.41066556,34.80900981,ND,ND,ND
rno-miR-203a-3p,ND,37.1040347,ND,ND,36.81144878,ND,35.76103962,ND,35.11646683,ND,34.92669529,ND,ND
rno-miR-204-5p,30.98973659,30.52667571,32.60160049,32.6192864,30.95993522,33.59897489,34.06873042,32.87457718,30.64124759,30.50152982,30.57936794,32.17080135,ND
rno-miR-206-3p,35.94173626,ND,35.02377219,39.99004948,37.6601882,37.73041375,ND,36.73199414,38.17057158,ND,36.89419964,36.50469001,38.01739163
rno-miR-20a-5p,28.95753364,29.17721102,28.73729706,29.10053593,30.91268612,29.00723681,29.28549476,28.49167888,29.06096444,28.71168266,28.86928656,28.48069103,ND
rno-miR-20b-3p,ND,ND,ND,ND,ND,ND,ND,ND,35.6813478,ND,ND,ND,ND
rno-miR-210-3p,31.50856819,29.49263714,29.78429698,31.17697682,32.58947651,29.80518312,31.67685412,28.64206771,29.26067825,31.31841568,29.27737394,29.57377464,ND
rno-miR-211-5p,33.47267967,ND,33.70092545,35.826833,36.15193612,33.93725173,34.65429849,33.80634585,35.14178051,33.71499529,34.2789133,33.61519404,ND
rno-miR-212-3p,32.94745281,32.39400483,32.54200154,ND,34.2072068,32.34076445,33.59543505,31.69063331,33.13145333,32.25880587,32.72271451,32.49798158,ND
rno-miR-214-3p,24.68499075,23.74287311,24.44110791,25.86647027,25.22881133,24.62357678,25.84648602,24.1837213,23.76748252,24.21853731,23.80397668,25.18090345,37.70664611
rno-miR-21-5p,22.39396027,22.33449286,22.64843604,24.10366465,24.81222203,22.82688687,23.81472391,22.27924255,22.181563,22.01772799,22.5532058,23.06887861,ND
rno-miR-216a-5p,ND,ND,ND,39.08690748,ND,ND,ND,ND,ND,ND,ND,ND,ND
rno-miR-218a-5p,32.14753632,29.96103639,29.84654594,32.82437496,33.9061233,29.84031504,32.10435167,29.75207627,29.89048909,31.17289036,30.69058463,31.40441328,ND
rno-miR-219-1-3p,ND,ND,ND,ND,36.65789735,ND,ND,ND,35.80846798,36.63687916,38.98675963,ND,ND
rno-miR-219-5p,33.10370491,30.87420598,31.51096349,34.42775201,ND,31.63801916,35.96480444,31.62940517,30.81432953,33.67633404,30.8692412,34.50945426,ND
rno-miR-221-3p,25.62784002,24.88523327,25.43703929,26.57499999,26.18713059,25.54853836,27.09293117,25.57279209,24.87440074,24.89303671,24.9855252,25.9936443,ND
rno-miR-222-3p,27.0223278,26.48540058,27.54668348,28.36754762,27.93720542,27.5694254,28.55040351,27.51029284,26.48208904,26.61677208,26.91569475,27.86378359,ND
rno-miR-223-3p,29.2623095,39.58715147,ND,28.27207137,29.80872319,ND,28.34303301,ND,ND,28.67627715,ND,28.54882523,ND
rno-miR-22-3p,26.17998128,25.85813981,25.92788391,26.6994705,27.48603126,26.21372068,26.69669736,25.97535337,26.08551204,25.78787124,25.99605171,25.94530105,ND
rno-miR-224-5p,32.78424966,32.07857355,32.28061085,33.2611896,33.8198652,31.84479932,33.80882151,32.50026478,32.65751295,31.8749891,32.49821866,33.76512917,ND
rno-miR-23a-3p,24.46993353,23.80137359,24.09246477,25.24564762,25.30472679,24.18049137,25.71880012,24.07421738,23.93312178,23.79040085,23.91389905,24.70392706,ND
rno-miR-23b-3p,24.94956387,24.09455755,24.81856542,26.44053345,25.76206134,24.92281086,26.53645239,24.83819383,24.16860548,24.4720662,24.36409242,25.70746944,ND
rno-miR-24-3p,24.82425379,23.59773205,24.02434685,25.59089941,26.04245678,24.05232587,25.95823876,23.98224033,23.59653827,24.13665293,23.59311572,24.60309675,ND
rno-miR-25-3p,29.83093984,29.86458548,29.76647569,30.025978,31.09735914,30.00307824,30.13378709,29.70554956,29.74511597,29.15227784,30.00413061,29.52360705,ND
rno-miR-26a-5p,26.68086057,25.64854745,26.13289987,27.88902294,28.09915158,26.23323427,27.76457206,25.92343599,25.68809959,26.32753918,25.95902929,27.12695915,37.95579219
rno-miR-26b-5p,31.48186083,30.26084786,31.47451281,33.53943306,33.36278962,31.15876769,32.98853871,30.75654567,30.25098045,31.20870291,30.77999424,32.07835571,ND
rno-miR-27a-3p,28.30268379,26.58728444,27.43305528,30.08792025,ND,27.84191039,ND,ND,26.27994959,27.51783791,27.28447207,29.0856199,ND
rno-miR-27b-3p,25.10737784,23.87585698,25.17878519,27.00677731,26.75995788,24.98544995,27.25160901,24.78045202,23.91723521,24.50510624,24.21389548,25.87162398,ND
rno-miR-28-5p,30.10714692,29.49194215,29.44599013,30.85372633,30.99861585,29.62887026,31.01022488,29.35394352,29.29595706,29.33949442,29.18230678,30.51111599,ND
rno-miR-290,ND,ND,36.31241928,34.96546104,ND,ND,ND,ND,36.0703808,ND,ND,ND,ND
rno-miR-291a-5p,ND,36.72474008,37.59907083,37.38431814,ND,ND,ND,36.72253907,35.8356155,ND,37.00636826,38.45388661,ND
rno-miR-296-5p,ND,36.76621822,35.53655872,ND,ND,35.15147644,ND,34.6578568,35.74827165,37.77984801,36.1114404,ND,ND
rno-miR-298-5p,35.53198453,37.19478143,32.64808272,37.36420537,ND,33.46716433,34.585405,34.30232003,34.75791084,34.88616705,34.28858597,33.93238686,ND
rno-miR-29a-3p,27.6890453,25.9112388,25.92008405,28.26078012,29.71794686,26.46368534,28.33785741,25.91635609,26.08702075,27.01273871,26.06713195,26.91999606,ND
rno-miR-29b-3p,31.08057343,29.19657752,28.74214318,32.75904651,35.62569234,29.11681534,32.02469742,28.81185178,29.06752568,31.25912876,28.83206814,30.32102969,ND
rno-miR-29c-3p,31.08534728,28.95045504,28.92227881,32.28213368,32.6780106,29.47631255,31.97234151,29.06935304,28.88398841,30.57108835,29.32975755,30.20952761,ND
rno-miR-300-3p,32.58395076,31.11965295,32.25422632,34.04480609,34.45269102,32.5347446,33.81674237,32.13248395,31.15520112,31.87030767,31.88440274,32.83281529,ND
rno-miR-301a-3p,29.66605968,27.89083835,27.89686698,30.66812189,32.28326541,27.86054006,30.94308741,27.87384384,27.89725442,29.19845886,28.00385727,29.85417999,ND
rno-miR-301b-3p,35.17330185,32.53024224,32.89382041,35.82946823,36.6384777,33.62416342,36.49451148,33.15018984,33.31447599,34.11644538,34.29293931,34.58043636,ND
rno-miR-30a-5p,30.65473613,29.57185807,29.90038307,32.12928073,32.7190338,29.82577603,32.01876989,30.15298537,29.68742605,30.1938977,29.91889198,31.04330787,ND
rno-miR-30b-5p,28.75420452,27.75804863,27.81081295,28.95632017,29.35936146,28.06477401,29.35564425,27.72649572,27.68435371,27.96719989,27.79177796,28.72719696,ND
rno-miR-30c-2-3p,34.61667708,34.77777654,35.04422427,35.02645508,36.03449633,35.48044927,35.82940676,35.02619117,34.86657735,35.71695401,34.51781835,36.8739654,ND
rno-miR-30c-5p,28.64077657,27.27339232,27.683402,29.10925032,29.18184238,27.87534621,29.36786795,27.57235407,27.36148912,27.86279127,27.52796909,28.76207998,ND
rno-miR-30d-5p,34.05940735,32.56938025,32.78898751,34.15759312,34.28677357,33.25594321,34.78689219,32.99726893,32.36628275,32.77542101,33.62609285,34.46072086,ND
rno-miR-30e-5p,30.09128604,28.58297256,28.88791727,31.63753671,32.11142925,29.03249338,30.77594924,28.77027012,28.65546901,29.64167774,28.78003011,30.53587214,ND
rno-miR-31a-5p,25.35837006,24.01616349,23.77398043,25.76532516,26.47279703,23.9688049,26.00346345,23.72272982,23.93655642,24.53792277,23.90358977,24.87603964,ND
rno-miR-320-3p,27.94952634,27.68517902,28.48266856,29.61812405,28.89958862,28.71365056,29.40068075,28.06703196,27.69583196,27.88691451,28.36604199,28.61323798,ND
rno-miR-322-5p,26.2417285,25.14852287,27.4409471,29.17980842,28.24344422,27.2891626,29.15473906,26.98080813,25.1986589,25.99944188,25.49774863,28.09141313,ND
rno-miR-323-3p,35.68204135,34.15347499,35.29973119,35.46427147,36.52864475,34.00565894,34.93015882,34.92801647,34.59537249,34.02809238,34.83054844,35.58917922,ND
rno-miR-324-5p,30.07345276,28.88889948,28.66978389,31.45616708,33.19593902,28.57055815,31.05562028,28.55286477,28.96543248,29.93510335,28.65061098,29.62735659,ND
rno-miR-325-3p,ND,34.15152514,34.30122822,33.98366059,ND,34.26801684,33.77780092,34.68877477,33.53988032,32.76171968,35.18365627,34.03462821,ND
rno-miR-32-5p,33.9000005,31.33047366,32.48798046,34.92629122,36.27899607,32.02022883,33.67945779,31.98003121,31.50786703,33.1992101,30.94421359,33.55760632,ND
rno-miR-326-3p,35.71735454,ND,35.03555229,35.60125806,36.89802958,36.77583585,34.97608697,36.94672613,36.68452436,ND,34.52778604,33.74743558,ND
rno-miR-328a-3p,29.89581164,29.15817932,29.5459967,30.58135888,30.51725492,29.32743121,31.2512077,28.97307425,29.09674084,29.37848735,29.22731366,29.86458462,ND
rno-miR-329-3p,32.25733303,31.8631948,32.70947486,34.47821491,32.88920861,33.49212059,34.27529816,32.93427012,32.28563911,32.56599341,32.54065714,34.05055716,ND
rno-miR-330-5p,35.03102604,ND,35.31129758,34.73681486,37.43237293,37.90265165,35.72807366,33.74748259,33.73080598,36.31215924,34.11596047,37.15468748,ND
rno-miR-331-3p,33.44720959,32.36105153,33.34024699,35.05232359,35.08034942,33.78512258,34.83937279,32.6381996,32.81452835,33.2843701,33.5230595,34.63106917,ND
rno-miR-335,35.08304007,35.87508464,ND,37.40926597,38.012314,37.79052305,37.26190326,ND,35.22864533,35.15897571,36.64265443,35.8769931,ND
rno-miR-33-5p,31.6623847,30.1150809,30.5287331,33.77456472,35.6003305,30.36156913,33.47803042,30.14505913,29.1050774,32.19703044,29.24942622,32.35382103,ND
rno-miR-337-3p,29.65803285,28.78580772,30.05099379,31.70480871,30.95604386,30.03766352,31.91790984,29.79778087,29.08142245,29.06125309,29.1770832,30.47867042,ND
rno-miR-338-3p,ND,ND,ND,ND,ND,ND,34.44690401,ND,ND,35.23108415,ND,33.8624356,ND
rno-miR-339-3p,33.8468106,33.17222475,32.96962946,35.52153063,35.34790896,32.68934584,ND,ND,32.80514537,32.01344132,32.84828149,33.65971157,ND
rno-miR-339-5p,33.00177177,32.32425627,32.68700316,34.30995352,33.79433037,33.0467753,34.04832244,32.33544059,31.62278805,32.51706044,ND,33.82694756,ND
rno-miR-340-3p,35.54704841,34.12363618,33.85722877,ND,36.46138817,34.45823925,ND,36.02490848,33.83000357,34.31957149,34.54020333,36.44316464,ND
rno-miR-342-3p,30.74240781,30.48188478,30.61133481,31.20970945,32.22850141,30.72797244,31.77973394,30.58773364,30.51257912,29.99417087,30.83606455,31.06158328,ND
rno-miR-342-5p,35.81151584,35.76633949,35.63662571,ND,ND,39.18312736,37.91528834,36.53185563,36.67132694,37.69566959,37.95146473,37.51163236,ND
rno-miR-345-5p,29.51665379,28.58166541,28.88715079,30.58242493,29.94057073,28.96598718,30.12815402,28.4543185,28.7809187,28.53534346,28.88384945,29.15263163,ND
rno-miR-346,36.17112634,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
rno-miR-34a-5p,27.58627557,26.50992523,26.7423456,28.74716527,29.55471702,26.78617456,28.88158508,26.59176042,26.59783525,27.23055959,26.55587728,27.4920224,ND
rno-miR-34b-3p,31.65171952,31.15313357,30.97338341,31.96277743,31.66183677,31.92000626,33.49626453,31.53829914,31.33729591,30.63612398,31.30360496,32.1514692,ND
rno-miR-34b-5p,32.62986962,29.99905808,29.94280565,34.83079701,36.43892905,30.27300704,34.05476159,29.81714655,29.73268446,31.9522335,29.91296816,32.3449167,ND
rno-miR-34c-5p,31.03537382,29.28395536,29.7232599,33.14563279,33.57526883,29.52319097,32.65932514,29.45552924,29.14668213,31.02680085,29.5172838,30.89523705,ND
rno-miR-361-5p,29.97478527,29.69573485,29.53797081,30.57644517,30.79584717,29.8333383,30.56204651,29.4993774,29.59618365,29.46637991,29.55240647,29.82086545,36.0573393
rno-miR-362-3p,32.06024017,31.61260162,31.18022774,34.05198796,34.4372536,31.68738735,34.31693732,31.25283369,31.17894319,32.29623054,31.27127698,32.67978718,ND
rno-miR-362-5p,34.99055305,33.62718509,34.31686028,36.17712547,34.74480634,34.38541983,38.48114183,33.82276581,34.21805586,33.6301275,34.22032294,33.94909306,ND
rno-miR-365-3p,28.47081474,27.30167726,26.85862414,28.00301328,29.56362115,26.96927786,28.57223434,26.8562253,27.31643138,27.85214313,27.3663312,27.23790868,ND
rno-miR-369-3p,33.66253338,33.24165075,34.30708962,35.48076645,36.08168896,35.35872475,36.52838179,34.73157258,33.77010565,33.53441631,34.4887246,35.35578937,ND
rno-miR-369-5p,31.82637862,30.78248949,31.77406275,33.11986915,32.39609187,31.88890274,33.00356016,31.70259505,30.20830177,30.66265843,30.8151282,32.21937285,ND
rno-miR-370-3p,31.76704588,30.07831425,31.20994331,32.92921879,33.50662205,31.06807503,33.82678421,31.48126255,30.66260852,31.44936955,30.95074168,32.63956522,ND
rno-miR-374-5p,31.58552878,30.89671024,31.61718747,33.02880672,33.19990526,32.10503713,33.01199827,31.66005284,30.46228746,31.2193009,30.77100489,32.05003863,ND
rno-miR-375-3p,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.81854948,ND
rno-miR-376a-3p,29.26857595,28.14029405,28.95543764,31.62859961,32.88644347,29.10665761,31.89432428,28.85375288,27.81782948,29.21049304,28.00186281,30.52962722,ND
rno-miR-376b-3p,31.97186632,30.8598537,32.25976251,33.80890942,34.02374603,32.14156774,33.57778236,31.81126349,30.66439911,31.48087541,30.93797746,32.7826659,ND
rno-miR-376c-3p,30.06928679,29.19432131,30.32396778,31.60300837,31.91653165,30.32837358,32.16246084,30.68730685,28.74045289,29.24079475,29.35624568,30.75906722,38.04815703
rno-miR-377-3p,33.50342282,32.7524822,33.35942989,35.09513282,35.93715201,32.97848649,34.96534808,34.13114249,32.54182953,32.53880095,33.69634809,33.75957571,ND
rno-miR-378a-3p,32.90966797,31.64882295,31.86739241,34.29259764,34.05018463,31.87266154,32.97735973,32.0597719,32.15192193,31.96399981,31.85031707,31.5680967,ND
rno-miR-379-5p,28.7752918,26.88976646,28.14507186,30.56158531,30.25960685,28.11717485,30.21369435,27.88139671,26.86803963,27.90278718,27.32101574,29.27306719,ND
rno-miR-380-5p,35.06086556,33.57809743,37.20330202,36.44029942,35.97775693,35.72005106,ND,35.18164455,33.67509168,36.22608787,34.25078849,37.03600134,ND
rno-miR-381-3p,ND,36.80854203,ND,ND,ND,ND,ND,ND,ND,36.57441782,37.22636009,ND,ND
rno-miR-382-5p,30.59267675,29.55641857,30.49617678,31.69192057,30.84434509,30.31799258,31.62353045,30.12334275,29.20496407,29.21978382,29.66132557,30.60369218,ND
rno-miR-384-3p,ND,35.73759522,ND,ND,ND,ND,ND,35.90262834,36.73645021,37.07942665,36.09364002,ND,ND
rno-miR-384-5p,ND,34.85025489,35.57309629,36.52755409,36.27968971,36.46779317,35.78508621,ND,36.6567213,35.5767068,36.08904743,ND,ND
rno-miR-410-3p,30.67943654,30.35884392,31.70618591,32.00731407,32.08209008,31.08042996,32.21471708,31.51059004,30.09170603,29.94067154,30.47244513,31.22709761,ND
rno-miR-411-5p,27.97325078,27.09721637,28.02782604,30.23642057,30.00305785,28.28804486,29.81360224,27.95810975,27.06737036,27.6790576,26.99914294,29.19472326,ND
rno-miR-421-5p,35.74022482,34.10303772,35.65205869,37.70616511,36.25872775,34.09446705,35.78512272,34.33638756,35.50961409,35.98307803,33.79139347,34.64852259,ND
rno-miR-423-3p,30.53317829,29.73815936,29.47144831,30.62873238,31.26272209,29.9045718,31.37738381,30.03959022,29.62704198,30.03679636,29.70529006,29.81291348,ND
rno-miR-425-5p,31.29367868,30.83835033,31.00863271,31.78847612,32.66019235,31.49813244,31.72520076,31.5126044,31.05764729,30.25542998,31.18821332,31.02100868,ND
rno-miR-429,ND,ND,ND,ND,38.84539178,ND,ND,35.43772955,ND,ND,36.79797075,ND,ND
rno-miR-431,29.50613732,28.47733145,29.67505072,31.18859581,30.524092,29.5812054,31.14449532,29.50836708,28.37026339,28.89894693,28.57621306,30.1094428,ND
rno-miR-433-3p,32.20591806,31.10202142,31.8968603,33.60596789,32.78333493,31.7285553,33.26785261,31.99605317,31.19852269,31.70988478,31.43976291,32.11606807,ND
rno-miR-434-3p,26.85079481,26.83091466,27.70911959,28.561912,27.66937767,27.662418,28.69555217,27.72207618,26.81906566,26.45246028,26.80438412,28.11412627,ND
rno-miR-449a-5p,34.66502023,33.75118295,33.47092462,36.22221688,36.56090034,32.98378012,36.75006675,32.90074849,33.84789054,34.9912154,34.29340682,34.56082828,ND
rno-miR-449c-5p,ND,34.838201,35.04182193,ND,ND,ND,ND,36.701392,ND,ND,35.92720414,ND,ND
rno-miR-450a-5p,27.50287035,26.22888351,28.53192819,30.17051835,28.12856636,28.85765483,30.12327651,28.3133714,26.16111372,26.556604,26.76072109,29.2392768,ND
rno-miR-451-5p,28.17347496,38.66349544,ND,27.56325901,29.46680101,ND,27.88349424,ND,ND,27.65942522,ND,27.31539627,ND
rno-miR-455-5p,33.79426473,32.5459893,33.21577285,34.71308339,36.39889956,32.88186679,35.18363883,33.19255126,32.3237463,32.79176102,32.19108925,33.99066876,ND
rno-miR-484,32.28380919,31.85401133,32.36032898,34.28161303,34.89079336,ND,33.8733274,32.65926649,31.84856876,32.50324155,32.10547673,33.68494407,ND
rno-miR-487b-3p,31.08621016,30.50263312,31.35280736,32.14500923,31.87180845,31.1638187,32.36417907,31.24483373,30.67779854,30.13759386,30.63209307,31.71734449,ND
rno-miR-490-3p,32.99993708,32.80177015,32.93075536,32.82249813,33.30521117,32.84211283,33.05259316,32.72843026,33.18582208,33.05150711,33.31583256,32.19209216,33.12623946
rno-miR-493-3p,33.14082898,32.27270383,33.68659025,36.18751603,36.01268975,33.8542016,34.8484361,33.66509298,32.59401038,32.75635475,32.94558657,34.64364311,ND
rno-miR-495,28.68336526,28.58543231,28.99190845,30.03516021,29.7854116,29.09922963,30.03909105,29.17820252,28.58055011,28.2230892,28.71648629,29.04950526,ND
rno-miR-497-5p,32.82454942,31.29663885,30.63017695,32.09374528,33.46437748,30.65955156,32.48367115,30.56244072,31.71737641,32.03792353,31.58189692,31.17503185,ND
rno-miR-499-5p,36.14520664,34.85022468,37.48522516,37.84330057,ND,34.69766151,39.56343394,34.96125466,34.59574491,34.74115926,35.52388219,36.97547113,ND
rno-miR-500-3p,33.44534523,32.85767971,32.68560934,34.68633495,35.51108919,33.20634634,35.57241018,32.88490927,33.89441098,32.66307861,33.15426504,32.76991049,ND
rno-miR-503-5p,30.09671004,27.82922932,30.307352,34.65939537,34.31120589,31.00331936,34.93328091,30.37097149,27.96878607,29.61782572,28.25106623,35.31738667,ND
rno-miR-505-3p,34.45427267,33.99144563,35.02264492,35.56579052,35.76538107,34.96987518,35.80914737,34.5386957,33.8072248,33.81707726,34.71557743,34.89085235,ND
rno-miR-539-5p,30.29042102,29.63209585,30.72702715,31.73510351,30.97417416,30.32518392,31.8727374,30.70095763,29.67619484,29.69417505,29.67349591,31.57912923,ND
rno-miR-540-5p,ND,36.88156029,35.28718943,ND,35.17472683,36.57900753,ND,36.46676522,35.81574083,35.63641841,34.29129068,ND,ND
rno-miR-541-5p,29.82416564,28.60781038,29.35753714,31.50307552,30.44302899,29.45933273,31.32648865,29.28466979,28.58620169,28.85780507,28.58689151,30.32962755,ND
rno-miR-542-5p,31.58359355,30.60534602,32.53701033,33.99220454,32.92295801,31.97597919,33.30393425,32.13419328,30.52135661,30.98302345,30.23512497,32.48761951,ND
rno-miR-582-5p,34.76486916,34.75106547,32.79563057,33.74616271,35.1925011,32.95065626,34.91462429,32.60425057,34.12824997,35.09270693,34.52389024,33.75534432,ND
rno-miR-592,ND,35.75115112,35.81903808,36.21594401,ND,35.08349549,38.0203697,34.70153764,ND,ND,ND,36.94089594,ND
rno-miR-598-3p,34.85492675,35.17400951,34.76278493,35.97234402,36.76661538,35.25183691,36.92080963,34.07169531,34.84048668,ND,35.16556174,34.72416547,ND
rno-miR-598-5p,ND,ND,ND,ND,ND,36.47720022,ND,ND,ND,ND,ND,ND,ND
rno-miR-628,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.93134965,ND,ND,ND
rno-miR-652-3p,30.12227138,29.31886267,29.64873287,30.85645602,31.25764025,29.74960494,31.31283024,29.50403494,29.20314265,29.34389082,29.53157483,30.50615779,ND
rno-miR-668,33.68887646,33.09100016,32.8590093,35.16204244,33.83482389,34.03187591,38.31814449,35.82521088,32.47043389,32.78884796,33.58056172,32.77288767,ND
rno-miR-672-5p,32.25735382,31.60619791,32.92910583,36.97208734,32.53686946,32.76223724,33.97217363,32.91595581,31.49672499,31.17235888,31.61187632,32.84908298,ND
rno-miR-708-5p,32.51437293,32.84732404,33.52856778,35.65126345,35.26233853,34.06990265,33.89148946,32.32869342,32.2634905,32.36011302,32.29352653,33.6909257,ND
rno-miR-760-3p,ND,35.77160358,34.24202937,35.61524583,35.48602173,34.786766,35.82578023,35.92750577,39.39266416,34.05563174,ND,34.76039828,ND
rno-miR-7a-5p,34.50853461,32.54448998,31.95931993,34.72452132,34.7665933,32.32199561,34.30400488,32.44046323,32.34527861,33.44721281,32.25207846,33.04060915,ND
rno-miR-874-3p,34.5242488,33.5884717,34.8893762,34.78039899,34.12754981,33.05735547,ND,32.85887748,32.97764008,33.25250607,33.24612499,33.52949689,ND
rno-miR-877,35.84683149,34.52918892,34.52161447,35.11101222,36.25511849,34.72115419,36.4521637,35.86020982,35.02059381,34.35685626,34.15585746,33.95515049,ND
rno-miR-92b-3p,ND,ND,ND,37.49653389,37.18488918,36.85481544,ND,ND,ND,ND,35.80536914,38.37368481,ND
rno-miR-93-5p,29.20875463,29.24968874,28.87840797,29.84185802,30.72257481,29.18963369,29.45141394,28.77470304,28.94404608,28.83703257,28.9925701,29.04373813,ND
rno-miR-96-5p,ND,ND,36.53976279,ND,ND,ND,ND,35.49248607,37.34477499,36.55686593,35.836655,ND,ND
rno-miR-98-5p,31.9830231,30.59887243,30.00489015,32.54220151,33.22779441,30.42819367,31.94137762,30.07840494,30.42189423,31.07656508,30.21698176,31.55194725,ND
rno-miR-99a-5p,27.55093324,27.28586308,27.5001761,28.57773733,28.24779625,27.58851531,28.856807,27.50132362,27.20211612,26.93839617,27.70584055,28.0032036,ND
rno-miR-99b-5p,27.19602492,26.89658243,27.36286044,28.06316207,27.49881293,27.14414336,28.34079636,26.8480609,26.63513932,26.3745252,26.72454225,27.19234817,ND
rno-miR-9a-3p,ND,ND,39.22814926,ND,ND,ND,ND,ND,ND,38.11918229,39.04631831,ND,ND
rno-miR-9a-5p,ND,37.92481425,38.46106841,ND,37.45478295,ND,37.16982142,ND,ND,37.19819004,ND,ND,ND
RNU1A1,25.49280328,23.05163522,22.80295799,25.63231251,25.35881722,22.34620047,25.74869022,22.08992013,22.94535281,25.06884158,23.34340299,25.15641791,ND
RNU5G,27.76426117,24.74195859,24.86881198,28.83904781,27.67187162,24.82198196,28.92249397,24.73778921,24.81546181,27.31279417,24.97721801,28.31565309,ND
UniSp3 IPC,20.84862986,20.99638112,20.99312669,20.76642318,20.77618831,20.798837,20.78599084,20.59703907,20.80696552,20.88264775,20.73938603,20.68488019,20.78738636
UniSp6 CP,21.83985088,21.09087075,21.37397923,21.93239048,22.88883537,21.92223204,22.74087572,21.76563336,20.76375554,21.77420392,22.53784065,22.36425339,22.0009932
